Time (s);IRQ;FSM
-0.025637829999999997;0;1
-0.0256347;0;1
-0.02563157;0;1
-0.02562844;0;1
-0.02562531;0;1
-0.025622179999999998;0;1
-0.025619049999999997;0;1
-0.025615919999999997;0;1
-0.02561279;0;1
-0.02560966;0;1
-0.02560653;0;1
-0.0256034;0;1
-0.025600269999999998;1;1
-0.025597139999999997;1;1
-0.025594009999999997;0;1
-0.02559088;0;1
-0.02558775;0;1
-0.02558462;0;1
-0.02558149;0;1
-0.025578359999999998;0;1
-0.025575229999999997;0;1
-0.025572099999999997;0;1
-0.02556897;0;1
-0.02556584;0;1
-0.02556271;0;1
-0.02555958;0;1
-0.025556449999999998;0;1
-0.025553319999999997;0;1
-0.025550189999999997;0;1
-0.02554706;0;1
-0.02554393;0;1
-0.0255408;0;1
-0.02553767;0;1
-0.025534539999999998;0;1
-0.025531409999999997;0;1
-0.025528279999999997;0;1
-0.02552515;0;1
-0.02552202;0;1
-0.02551889;0;1
-0.02551576;0;1
-0.025512629999999998;0;1
-0.025509499999999997;0;1
-0.025506369999999997;0;1
-0.02550324;0;1
-0.02550011;0;1
-0.02549698;0;1
-0.02549385;0;1
-0.025490719999999998;0;1
-0.025487589999999997;0;1
-0.025484459999999997;0;1
-0.02548133;0;1
-0.0254782;0;1
-0.02547507;0;1
-0.02547194;0;1
-0.025468809999999998;0;1
-0.025465679999999997;0;1
-0.025462549999999997;0;1
-0.02545942;0;1
-0.02545629;0;1
-0.02545316;0;1
-0.02545003;0;1
-0.025446899999999998;0;1
-0.025443769999999997;0;1
-0.025440639999999997;1;1
-0.02543751;1;1
-0.02543438;0;1
-0.02543125;0;1
-0.02542812;0;1
-0.025424989999999998;0;1
-0.025421859999999998;0;1
-0.025418729999999997;0;1
-0.0254156;0;1
-0.02541247;0;1
-0.02540934;0;1
-0.02540621;0;1
-0.025403079999999998;0;1
-0.025399949999999998;0;1
-0.025396819999999997;0;1
-0.02539369;0;1
-0.02539056;0;1
-0.02538743;0;1
-0.0253843;0;1
-0.025381169999999998;0;1
-0.025378039999999998;0;1
-0.025374909999999997;0;1
-0.02537178;0;1
-0.02536865;0;1
-0.02536552;0;1
-0.02536239;0;1
-0.025359259999999998;0;1
